Feature,MI Score
Average Daily Performance,0.2562238429761967
Performance 2023Q1,0.2435728899778633
Low,0.1649904363856507
Last Open,0.15844036449330723
Last Close,0.14565342354654032
Average Daily Price,0.13442697725414554
BERT_PCA_10,0.12201956347290466
Begin Close,0.09879808588661554
BERT_PCA_23,0.08416915346716625
Average Daily Volume,0.07961043959040293
High,0.0668782521956901
BERT_PCA_5,0.06115197653451521
fullTimeEmployees,0.055754091888443824
exchange_NYQ,0.04738869413370539
BERT_PCA_38,0.045196675207268555
BERT_PCA_21,0.04235385671675829
BERT_PCA_41,0.04055012206461406
BERT_PCA_15,0.03742020737839358
BERT_PCA_9,0.034874614908591894
BERT_PCA_6,0.03379890389338325
BERT_PCA_19,0.03338554119321824
BERT_PCA_17,0.032919805253894374
BERT_PCA_37,0.03287274515278593
BERT_PCA_25,0.03161119691192038
exchange_PNK,0.031324151461977534
BERT_PCA_12,0.030626494812207916
BERT_PCA_28,0.030353492262390702
BERT_PCA_18,0.029729509436622337
recommendationKey_none,0.027558732270434705
country_United States,0.027321203098956914
exchange_OEM,0.026627061545372976
BERT_PCA_22,0.02662245952338349
BERT_PCA_27,0.026562133421226264
exchange_NMS,0.023792571430354403
sector_Financial Services,0.023258579774947163
sector_Technology,0.022707778222067487
BERT_PCA_26,0.021822486307355504
BERT_PCA_30,0.021580788930179118
BERT_PCA_40,0.020919867563435446
BERT_PCA_0,0.020421098077657795
BERT_PCA_32,0.02039348061677515
BERT_PCA_13,0.02007181183654705
exchange_OQB,0.018966297497208906
BERT_PCA_4,0.017039452365316343
BERT_PCA_35,0.016435204336191944
BERT_PCA_39,0.014160318991233822
recommendationKey_hold,0.013742576459969014
BERT_PCA_34,0.01229738411826986
BERT_PCA_11,0.011893862141815426
BERT_PCA_20,0.00841131073147583
country_Asia and Pacific,0.0073641384155929135
BERT_PCA_24,0.004680131298890444
BERT_PCA_2,0.004389449831671222
BERT_PCA_31,0.004025396553894112
exchange_NCM,0.003893601623656595
exchange_OQX,0.0035649602329709262
sector_Communication Services,0.0028662938515440217
BERT_PCA_7,0.002165149785954945
exchange_NGM,0.0021453051871260786
sector_Consumer Cyclical,0.0018467355412641329
sector_Utilities,0.0014330719392187108
sector_Real Estate,0.0002764707926832255
recommendationKey_underperform,0.0
recommendationKey_strong_buy,0.0
BERT_PCA_14,0.0
BERT_PCA_1,0.0
country_North America,0.0
country_Europe,0.0
sector_Industrials,0.0
sector_Healthcare,0.0
sector_Energy,0.0
sector_Consumer Defensive,0.0
BERT_PCA_16,0.0
BERT_PCA_3,0.0
BERT_PCA_36,0.0
BERT_PCA_33,0.0
BERT_PCA_8,0.0
BERT_PCA_29,0.0
