Stock,Local Outlier Factor,Isolation Forest,Is both
A,1,1,False
AAGH,1,1,False
AAPI,1,1,False
AAPL,1,1,False
AAQL,1,1,False
ABAT,1,1,False
ABM,1,1,False
ABQQ,1,1,False
ABTI,1,1,False
ACAN,1,1,False
ACCD,1,1,False
ACI,1,1,False
ACM,1,1,False
ACN,1,1,False
ACST,1,1,False
ADBE,1,1,False
ADI,1,1,False
ADMT,1,1,False
ADNT,1,1,False
ADP,1,1,False
AEHR,1,1,False
AEMD,1,1,False
AFOM,1,1,False
AFRM,1,1,False
AGLY,1,1,False
AGTX,1,1,False
AGYS,1,1,False
AI,1,1,False
AIHS,1,1,False
AIR,1,1,False
AIRT,1,1,False
AIRTP,1,1,False
AIT,1,1,False
AITX,1,-1,False
AKTS,1,1,False
ALCO,1,1,False
ALDS,1,1,False
ALGM,1,1,False
ALID,1,1,False
ALTX,1,1,False
ALZN,1,1,False
AMAT,1,1,False
AMCCF,1,1,False
AMCR,1,1,False
AMRK,1,1,False
AMSC,1,1,False
AMST,1,1,False
AMWD,1,1,False
ANEB,1,1,False
ANGO,1,1,False
ANIX,1,1,False
AOSL,1,1,False
AOUT,1,1,False
AOXY,1,1,False
APD,1,1,False
APDN,1,1,False
APLD,1,1,False
APPS,1,1,False
ARAT,1,1,False
ARAY,1,1,False
ARKR,1,1,False
ARMK,1,1,False
ARRT,1,1,False
ARTH,1,1,False
ARWR,1,1,False
ASH,1,1,False
ASRE,1,1,False
ASTC,1,1,False
ASYS,1,1,False
ATAO,1,1,False
ATEX,1,1,False
ATGE,1,1,False
ATIF,1,1,False
ATKR,1,1,False
ATO,1,1,False
ATXG,1,1,False
AUSI,1,1,False
AVAI,1,1,False
AVAV,1,1,False
AVGO,-1,1,False
AVNW,1,1,False
AVO,1,1,False
AVT,1,1,False
AVXL,1,1,False
AWCA,1,1,False
AX,1,1,False
AXR,1,1,False
AYI,1,1,False
AYTU,1,1,False
AZEK,1,-1,False
AZO,1,1,False
AZPN,1,1,False
AZTA,1,1,False
AZZ,1,1,False
BAH,1,1,False
BARK,1,1,False
BBCP,1,1,False
BBIG,1,1,False
BCRD,1,1,False
BCTX,1,1,False
BDCC,1,1,False
BDL,1,1,False
BDX,1,1,False
BEN,1,1,False
BERY,1,1,False
BFYW,1,1,False
