Company,Last day Open,Begin day Close,Last day Close,Average Price,Average Performance,Volume,Average Volume,Quarter High,Quarter Low,Performance 2023Q1,Performance 2023Q2,Relative 2023Q2,zip,sector,fullTimeEmployees,city,phone,state,country,industry,profitMargins,revenueGrowth,recommendationKey,totalCashPerShare,exchange
A,133.9566631908308,148.44061279296875,136.86532592773438,144.63436052876133,-0.1680401715305014,2579800,1410779.0322580645,157.88880529632618,126.85322162028636,-11.298576617723969,-19.39472624160156,-27.817371290627285,95051,Healthcare,17400.0,Santa Clara,800 227 9770,CA,United States,Diagnostics & Research,0.21747999,-0.056,buy,6.192,NYQ
AAGH,0.008899999782443,0.0074000000022351,0.0080000003799796,0.008488709632787922,1.2920264494415112,224211,200625.25806451612,0.0120000001043081,0.0010999999940395,16.627495897646448,-29.188090230399983,-37.61073527942571,91803,Healthcare,7.0,Alhambra,888 988 1333,CA,United States,Biotechnology,,1.383,none,,OEM
AAPI,3.0,2.259999990463257,3.0,2.1780645116682975,0.6407735238815885,0,80.7741935483871,3.0,2.0,-5.732973823066374,37.6166052629498,29.19396021392407,3200,Consumer Cyclical,,Melbourne,61 3 8393 1459,VIC,Australia,Gambling,,,none,,OQB
AAPL,161.17213936170594,123.90462493896484,163.61293029785156,146.30736123361896,0.4487163884481125,68749800,68889000.0,163.7121558421177,123.01300942940524,14.304412324146886,25.087100159654675,16.664455110628946,95014,Technology,164000.0,Cupertino,(408) 996-1010,CA,United States,Consumer Electronics,0.23971,0.061,buy,4.311,NMS
AAQL,0.2249999940395355,0.1199999973177909,0.2249999940395355,0.14919354538283033,2.0257332696450945,0,305.258064516129,0.3375000059604645,0.0230000000447034,65.57971088728621,454.4697160135758,446.0470709645501,11354,Consumer Cyclical,,Flushing,347-313-8992,NY,United States,Internet Retail,-2.86585,167.391,none,0.004,PNK
ABAT,14.625,6.539999961853027,14.100000381469728,11.48685485316861,1.655703407609523,200587,181364.25806451612,21.75,6.074999809265137,88.93033506890016,5.058092352294566,-3.3645526967311623,89503,Basic Materials,96.0,Reno,775 473 4744,NV,United States,Other Industrial Metals & Mining,,,buy,0.097,NCM
ABM,43.21842822244524,43.15083312988281,43.40192413330078,44.65961745477492,0.002336415356764913,335700,325096.77419354836,47.88312597894132,40.36939676586734,-0.6658338695872105,-5.140814521503,-13.563459570528728,10006,Industrials,123000.0,New York,212 297 0200,NY,United States,Specialty Business Services,0.01884,0.033,hold,1.374,NYQ
ABQQ,0.0003999999898951,0.0006500000017695,0.0003000000142492,0.0005087096853399082,0.6760926163549466,2045005,22940366.56451613,0.001300000003539,0.0003000000142492,-40.25887923417133,-66.36741866211018,-74.79006371113591,10005,Communication Services,9.0,New York,,NY,United States,Entertainment,-0.43267,0.218,none,,PNK
ABTI,0.0436999984085559,0.050000000745058,0.0436999984085559,0.04474564488496507,0.8312412679269806,0,34414.8064516129,0.1150000020861625,0.0199999995529651,-25.67569793010293,-64.68261766939358,-73.10526271841931,CH41 5AR,Healthcare,,Birkenhead,44 1516 019 477,,United Kingdom,Drug Manufacturers - Specialty & Generic,,,none,,PNK
ACAN,0.1700000017881393,0.0900000035762786,0.2370000034570694,0.22274193540215492,2.120763964573467,3300,12950.0,0.2899999916553497,0.0900000035762786,10.697514735068566,-15.86366782798486,-24.286312877010587,80202,Real Estate,3.0,Denver,303 862 9000,CO,United States,Real Estate Services,-0.59470004,-0.704,none,0.009,PNK
ACCD,13.880000114440918,7.320000171661377,14.380000114440918,11.318629018722042,1.162659846602691,911200,706325.8064516129,14.6899995803833,6.829999923706055,36.2417080605103,16.73948902245423,8.316843973428501,98101,Healthcare,2400.0,Seattle,206 926 8100,WA,United States,Health Information Services,-0.18160999,0.098,buy,2.91,NMS
ACI,19.7777195059533,19.761234283447266,19.95053482055664,19.806698091568485,-0.003015064429236299,2834700,3994932.2580645164,20.728203066687783,18.37599696028711,-5.012859442564701,2.968925521362501,-5.453719527663227,83706,Consumer Defensive,108300.0,Boise,208 395 6200,ID,United States,Grocery Stores,0.012519999,0.014,hold,0.513,NYQ
ACM,83.02183885296292,82.55830383300781,83.159912109375,85.01659577892673,0.00596426512476896,889300,1157603.2258064516,90.8920533188196,77.99201148968658,-0.5058618430833773,-2.199265662905539,-10.621910711931267,75240,Industrials,52000.0,Dallas,972 788 1000,TX,United States,Engineering & Construction,0.01611,0.133,buy,12.383,NYQ
ACN,275.40490721683904,261.82440185546875,278.0216064453125,265.0800862466135,0.0976150946163834,3009300,2416383.870967742,287.7296427309999,236.1836453011404,-4.263740007807701,13.706936509048552,5.284291460022825,D02 P820,Technology,774000.0,Dublin,353 1 646 2000,,Ireland,Information Technology Services,0.111940004,0.026,buy,8.018,NYQ
ACST,2.5799989700317383,3.016199111938477,2.759398937225342,3.5730328752148535,-0.10263363483153447,29037,20292.1935483871,5.047799110412598,2.399998903274536,-35.430967917146575,-11.01077535328201,-19.43342040230774,08540,Healthcare,,Princeton,818-839-4378,NJ,United States,Biotechnology,,,buy,1.914,NCM
ADBE,382.2900085449219,336.9200134277344,385.3699951171875,355.4167751189201,0.2340970736842664,3063400,3051075.806451613,402.489990234375,318.6000061035156,1.2999593622461387,31.061856646841303,22.63921159781557,95110-2704,Technology,29945.0,San Jose,408 536 6000,CA,United States,Software - Infrastructure,0.25588,0.106,buy,17.072,NMS
ADI,188.39926679208605,157.4187774658203,192.00135803222656,174.07684670725178,0.3211689775301447,3873000,3502120.9677419355,192.33235771885532,154.6376689005561,11.9331491837301,4.437580349198441,-3.985064699827287,01887,Technology,26000.0,Wilmington,781 935 5565,MA,United States,Semiconductors,0.17068,-0.248,buy,5.127,NMS
ADMT,0.1099999994039535,0.0799999982118606,0.1199999973177909,0.09370967685695612,0.8902717943648367,13800,27517.74193548387,0.1400000005960464,0.0599999986588954,44.56521611579738,23.90383723286308,15.48119218383735,07647,Healthcare,,Northvale,201 767 6040,NJ,United States,Medical Devices,-0.15448,0.125,none,0.007,OQB
ADNT,40.720001220703125,34.869998931884766,40.959999084472656,41.75419352131505,0.273182651122168,834800,921424.1935483871,47.5,34.16999816894531,-1.93936600794177,-10.787619529758125,-19.21026457878385,D01 H104,Consumer Cyclical,,Dublin,353 732 254 5000,,Ireland,Auto Parts,0.00123,-0.045,hold,11.131,NYQ
ADP,213.66838918521972,228.564453125,215.322265625,217.27981887325163,-0.11348663449402589,1782800,2094793.5483870967,237.22965002382944,203.1454980533105,-7.233601714196871,-3.056263114665511,-11.47890816369124,07068,Technology,64000.0,Roseland,973 974 5000,NJ,United States,Software - Application,0.19715,0.071,hold,16.612,NMS
AEHR,33.27000045776367,18.38999938964844,31.020000457763672,32.21209667574975,1.421088611853821,7107300,1808180.6451612904,40.68999862670898,17.049999237060547,16.416365320700578,26.957026437823128,18.5343813887974,94539,Technology,115.0,Fremont,510-623-9400,CA,United States,Semiconductor Equipment & Materials,0.49635,-0.364,buy,1.277,NCM
AEMD,3.700000047683716,2.900000095367432,3.799999952316284,4.716129041487171,0.7579983676580295,2490,100886.93548387097,8.699999809265137,2.799999952316284,-9.428217889013853,-24.356777903860284,-32.77942295288601,92121,Healthcare,14.0,San Diego,619 941 0360,CA,United States,Medical Devices,,,buy,0.651,NCM
AFOM,0.1427000015974044,0.2854000031948089,0.2854000031948089,0.23752645427180868,20.333333333333393,59767,2429.032258064516,0.2854000031948089,0.0285400003194808,-10.693301997649836,-60.87664421563255,-69.29928926465827,10549,Communication Services,,Mount Kisco,914-574-6174,NY,United States,Entertainment,518.34534,0.162,none,,OEM
AFRM,10.600000381469728,9.100000381469728,11.270000457763672,12.59758064823766,0.49848573568496835,16148500,19362782.258064516,22.75,8.800000190734863,-13.865027417727902,27.445739790257477,19.023094741231745,94108,Technology,2006.0,San Francisco,415 960 1518,CA,United States,Software - Infrastructure,-0.17672001,0.407,buy,6.033,NMS
AGLY,2.049999952316284,2.049999952316284,2.049999952316284,2.049999952316284,0.0,0,0.0,2.049999952316284,2.049999952316284,0.0,0.0,-8.422645049025729,,Financial Services,1.0,Central,852 4620 9298,,Hong Kong,Shell Companies,,,none,,PNK
AGTX,0.1000000014901161,0.1694999933242797,0.1000000014901161,0.12482741943770834,-0.36370531620152885,0,414.43548387096774,0.1999000012874603,0.1000000014901161,-38.53905722937061,-44.27437216203092,-52.69701721105665,92629,Healthcare,,Dana Point,321 299 2014,CA,United States,Biotechnology,,,none,,PNK
AGYS,80.0,77.7699966430664,82.51000213623047,80.85580690445438,0.06361001395086828,221100,154793.5483870968,88.16000366210938,73.69000244140625,0.8676994575831343,-13.272026441560229,-21.69467149058596,30022,Technology,1900.0,Alpharetta,770-810-7800,GA,United States,Software - Application,0.37541,0.165,buy,1.988,NMS
AI,27.739999771118164,11.06999969482422,33.56999969482422,20.476290302891886,1.829042939819704,62877700,19897369.35483871,33.56999969482422,10.475000381469728,79.24851287417962,85.391308689907,76.96866364088127,94063,Technology,891.0,Redwood City,650 503 2200,CA,United States,Software - Application,-0.85475,0.205,hold,6.003,NYQ
AIHS,0.8799999952316284,0.9139999747276306,0.8799999952316284,0.9154838669684625,0.013686314381822766,6700,88146.7741935484,1.0700000524520874,0.8299999833106995,-2.1352443044142757,-26.212269754518275,-34.63491480354401,610000,Financial Services,55.0,Chengdu,86 28 6155 4399,,China,Credit Services,-0.67006,-0.464,none,0.106,NCM
AIR,54.790000915527344,44.59999847412109,54.54999923706055,51.79112895842521,0.3497474601722388,270600,229538.70967741936,56.86000061035156,44.209999084472656,11.851170724938536,6.795769491404885,-1.6268755576208438,60191,Industrials,5700.0,Wood Dale,630 227 2000,IL,United States,Aerospace & Defense,0.026700001,0.204,buy,1.398,NYQ
AIRT,21.459999084472656,24.71999931335449,25.049999237060547,23.16822571908274,-0.1457547288058277,21700,2940.3225806451615,28.950000762939453,18.5,-12.9704931573673,13.331925527564367,4.909280478538639,28262,Industrials,624.0,Charlotte,980 595 2840,NC,United States,Conglomerates,-0.0235,-0.07,none,2.831,NCM
AIRTP,21.530000686645508,21.0,21.530000686645508,22.659371037637033,0.06175735951156019,0,951.6129032258065,24.209999084472656,20.01000022888184,2.4652750867114803,-4.648280662266164,-13.070925711291892,28262,Industrials,624.0,Charlotte,980 595 2840,NC,United States,Conglomerates,-0.0235,-0.07,none,2.831,NGM
AIT,137.27295476309072,123.00529479980467,140.2934112548828,133.71390496530842,0.19882298212396274,282400,234964.51612903227,147.1297481812722,115.14759870102289,9.760289708975147,0.7605245797247662,-7.662120469300962,44115,Industrials,6549.0,Cleveland,216 426 4000,OH,United States,Industrial Distribution,0.08565,0.003,buy,14.007,NYQ
