,Stock,True Value,Forest Prediction,SVR Prediction
143,FHLD,10357.07748368531,143.44780740640698,0.5406253683306463
53,ESMC,228.98979038241268,-11.288205880793896,-4.05052768456134
116,TPCS,71.33038826898797,7.394738049101635,-1.318419631760941
93,TRAK,45.149382565447326,-2.706368858816836,-7.354656462289876
35,PYYX,42.790268364453055,17.653925099878073,1.7576313284760428
98,PENG,41.97972077039755,-7.437763937434998,-9.654877150776906
126,EMAX,40.16510575336682,155.7032476559154,-12.037665975923964
142,POWL,37.752888350777255,4.781382280893927,-0.5809735080725549
79,PRST,35.937715388388824,-16.521097748380477,-31.18940416739658
146,YJGJ,35.04345657854533,221.92621617608438,-14.746896771120888
20,CUK,31.67601836405665,16.448511197999803,-5.508193452604042
63,JBSS,28.474323954455425,-2.9074537521383745,-1.5089466801277016
65,CSBR,26.577393837383323,-13.364424800481777,-15.921217548503359
59,MSFT,23.37073309634464,25.060344690950814,28.15123011378453
179,AWCA,22.709177415337617,-3.2843911294865777,-13.359281652837575
9,AXR,19.195930318691108,-13.899897730339163,-12.960525357390589
134,TCCO,19.081757597564664,-16.99925629849732,-13.952417114545904
36,AFRM,19.023094741231745,-11.494225044295757,-28.249052276536325
121,EXTR,18.43807577510145,-6.904268225109274,-10.77290190879321
80,MEIP,17.241932051680227,-29.086471894398205,-25.239055884757953
155,BLBD,16.99009788044129,80.35888292698344,8.49908772121555
18,JBL,15.489627822715882,2.36186498431388,4.523790608452577
34,OTEX,13.188084612706788,4.39992734943662,4.074316557770407
23,FRHC,12.824318981377203,8.355995443950372,1.3844315955635462
105,DECK,11.01857147148371,3.3387264441472433,10.39154155686922
42,GMS,10.639640995951671,-8.406049547042988,-5.401478046664488
56,CAH,9.703846637833376,-7.028842528990407,-8.31063265666196
14,ROAD,9.406785879245632,-13.109857281956781,-13.131029041335262
109,CRMT,7.918990226278787,-3.1503961008032246,-6.325318390355472
91,MSM,7.80304830432247,-11.442331434364203,-4.754212450860928
149,AITX,7.306111726973535,-21.53293564614999,-24.48635806076495
26,AIRT,4.909280478538639,-22.759446092963582,-20.447240316154925
97,CRVL,4.519399667042654,8.054028100311422,-1.686521716217067
144,RMHI,4.469842075474141,67.46971002453411,10.641386628376045
81,CMCO,3.5396630369970854,-6.400413635623779,-7.541367440335501
61,HI,3.5161173849805447,-7.458020016400675,-7.1315670060825145
41,DRI,3.4019127098054547,-0.9811840585538232,0.8760120843696537
107,CTAS,3.240199744418467,0.8851760005859097,6.722983978990419
5,SDCH,2.4271883446792746,-23.87330002814354,-29.767895300443307
85,STZ,2.0756570023197387,-8.680537845231262,-2.6504947063275726
84,TWIN,1.777172647970584,-22.93301055498556,-14.336387373222715
60,AMRK,1.2967527812117066,-21.397526493686563,-18.044462173998248
130,NOTR,1.1603185712049733,79.8328457960681,-15.507306082880584
122,CTXR,0.3802543641785139,-25.04327185327385,-17.41169533426514
48,LMNR,0.2882119403539764,-17.740193171654276,-8.07648057246538
125,AVAV,-0.228334444397138,-12.063877357923324,-5.247222102513115
4,ALTX,-0.486376517310001,-26.59489544467406,-8.984843691655252
165,KE,-0.5014760461332619,-4.0226181322348005,-9.88404631466542
131,SKKY,-1.1041675996472025,36.81260283718968,2.053535570554649
161,PLUS,-1.304843523501252,-12.232876229416378,-8.522470563268167
64,CTLPP,-1.98139741954952,-12.843735423182359,-14.45822742798307
29,MDT,-2.1377071564783394,-7.1730097711883545,-2.6998323413747816
159,AVT,-2.1616009874598427,-6.768785895312177,-10.225667365853178
7,BLIN,-2.7218300775565547,-20.264181491499095,-24.860427781948452
166,ABAT,-3.3645526967311623,4.2523835157145164,5.975008858400576
25,GBCS,-3.452599861792144,-4.703109871265423,-12.528013541903826
158,FIZZ,-3.6457510224878025,1.7448257126310358,-1.1550059723796497
76,GHM,-3.701266657572576,24.446431813332115,-4.41877973329755
67,MAYS,-4.088986052569242,-15.856174299397502,-15.162473148255012
47,MCHP,-4.200203634346282,4.9333451232564185,12.394401046075904
138,LEEN,-4.446867232501603,-19.423380059030677,-11.474711622807115
139,DLB,-4.933411779579299,6.466907841447135,4.966798270200888
44,PMCB,-4.95327710900466,-16.633880713150006,-17.03396233064546
92,THR,-5.392851012071951,2.470369080821911,-0.08360532553828115
132,GIS,-5.623084710375178,-3.463468210090438,3.5220764392617863
145,EPAC,-5.739633839306558,-10.96755873992105,-9.878479650779378
135,EVTK,-5.9558519728586905,13.973204991504433,-15.003980430350374
156,AVAI,-6.721977629284346,-43.806941862305656,-24.910787530643937
17,IMAQU,-6.833748036116663,-11.114834951166788,-9.609146232620057
157,HZO,-6.894277770277067,-12.976933407906332,-21.099616407976008
12,TIKK,-6.979331412163115,-12.666663502667006,-15.064871470852745
69,JCI,-7.067094700254168,-8.499349487713603,-15.03730928980965
129,CASH,-7.0696635796027545,-11.327638175874803,-7.7826133504945805
115,KEQU,-7.45128074194122,-19.0443716059113,-14.998596965757281
46,CVCO,-7.453646477377919,-0.6787673458805132,-3.178128942588865
28,POWW,-7.50986899617185,-7.698816067262597,-20.528369951745184
113,LANC,-7.558844907161256,-12.758011779860439,-8.61772771807241
19,ASTC,-7.626919930013853,-15.827079732570748,-12.31714985833184
162,REVG,-8.231760557746455,-13.680735934254182,-23.5226684071205
118,BBCP,-8.390974845450572,-4.059875516115176,-9.458111975114003
151,PXPC,-8.422645049025729,-16.066784179419628,-15.298032774736209
62,SHMY,-8.422645049025729,-8.284937373056836,-15.497791298483062
3,NTCT,-8.433486355212713,-13.091140124106966,-17.80020817934362
0,ATEX,-8.492247707224209,-19.666514701910717,-17.39124253232236
78,ARKR,-8.742967897627594,-5.764885576926003,-11.11049266671605
95,HOLX,-9.335340644238473,-3.7639065355838466,0.6689253931386698
68,FOX,-9.412230746584164,-7.782921407169284,-2.3958870227284255
43,SKY,-9.750649428437194,3.9761104212353002,1.548008479638133
70,PCYN,-10.069307278394662,-19.13744353845106,-21.79962978543376
148,LZB,-10.077578694751669,2.1932134168290465,-1.3762694266376005
167,APD,-10.135921851857244,-6.1155284871995015,-12.81581152571223
160,FLXS,-11.232874615083308,4.38085387595955,-5.591270443765177
58,FDS,-11.248761314933152,-8.595707866698616,-6.929631415240033
124,SWKS,-11.510914045459646,6.314543241581395,10.86461802906158
50,JFTH,-11.781417698840697,-17.07494996844591,-24.75917214858938
140,EAT,-11.878256360867564,-4.834879658090771,-4.950492942223059
169,KAVL,-12.306595498003336,-26.048944904683516,-20.486370238532665
173,J,-12.34253787740681,-10.219281064020754,-11.531706678920296
103,FUNI,-12.843153884830135,-24.293328706251096,-8.388230001712495
150,AIRTP,-13.070925711291892,-17.449525646393568,-15.11669145133265
153,MCFT,-13.94511162088703,-8.158885867773142,-8.196619352708092
101,HRL,-14.083778076509818,-19.832077743778704,-18.065289321553358
51,GEG,-14.469204297461214,-10.831321794900283,-13.54730744547802
74,CAG,-14.733289361355084,-7.812232919521144,-7.581043350173127
27,UTI,-15.339305144785236,-4.582750263511523,-10.05861049438172
45,PCTY,-15.52818461085146,-4.0528164151502155,-0.7854893869522588
82,MMNFQ,-15.536487771304548,-21.923286257095132,-34.17190375782294
111,TFSL,-15.538188148222892,-4.298475981725569,-17.671750677129488
88,CVM,-16.187838042615642,-4.590858425106244,-23.917164884632335
163,GGEI,-17.653774302319043,-22.728706631480506,-22.008396489642074
52,MTSI,-17.793664319270107,3.363911626839263,1.0474804402292417
2,DIS,-18.760514010143808,5.027087137112211,7.525125416495461
112,STEP,-19.020242838638296,-12.967795160342881,-19.909865784426493
89,NKE,-19.189729722876333,-7.67448100350498,-2.6745436118976844
22,RCAT,-19.50994397617472,-17.512748370889273,-11.078640431250756
55,CULP,-19.54339491978721,-9.994578398753092,-13.326579816097217
136,OESX,-19.597854469008315,-6.573257526097376,-12.286071769545737
102,LYTS,-19.93732336089613,-14.684841578969763,-8.937986805874539
10,CALM,-20.14836752621758,-4.461621782353251,1.5151920429612797
152,HRB,-20.795447971513298,-8.024618377118724,-5.679035967858704
37,NTIC,-21.14699135375261,-16.365946287462318,-18.812106793354552
147,CIEN,-21.8672964351871,-3.9632580753319155,-5.2417663561207295
1,UHAL,-22.460904826445827,-8.99847843672441,-12.282469916678929
168,SFIX,-23.12971236567804,15.621152144233323,13.648423700405806
170,FNGR,-23.54413342450431,-78.46641055961204,-48.93633709542811
120,FORD,-24.01879733152736,-14.438503653648029,-17.21483899650449
123,IROQ,-24.819561913288933,-15.63021977254766,-18.588017255552806
133,ASH,-25.477096317166804,-12.47693873196891,-9.063486669282065
110,WLY,-25.81915778890945,-14.625164976529254,-22.743271619882442
141,ANGO,-26.07634789038321,-16.9052556837882,-29.836070149281305
83,ASRE,-26.69335174610996,-15.54504185463798,-30.92393333918087
71,NOTV,-26.755665115731126,-22.133285322889265,-35.42342153550887
57,HNNA,-26.99426686263423,-28.214507179201632,-20.16903595079861
13,BOWL,-27.72262261090592,-8.897867851457185,-1.7127190319512469
32,FC,-29.434193906438697,-12.690229602771502,-17.18954087439831
15,NTWK,-29.719134298424542,-19.8756416768999,-22.725780704151582
87,LEE,-31.34294355260109,-32.30644916096684,-29.928092298801424
24,MRCY,-31.94179127010657,-5.481420907528337,-3.0301153919393986
164,LESL,-32.102341200843625,-20.903406883963008,-37.42606360285995
77,LIVE,-33.05449508458538,-8.358389623631236,-14.20574462070831
176,NMTC,-33.414512302104114,-7.697296118051793,-4.127554360609105
30,EL,-33.587485832034005,-6.825856684713326,-9.182895738599678
119,XSNX,-33.685619579421385,-37.035137974778785,-14.462674351848309
72,UGI,-34.11396151645223,-9.069092365098484,-10.923531017516234
33,MLAB,-34.84519834063834,-10.813728826151687,-9.040915910566776
75,VFC,-35.49767132125385,-28.933284961051516,-33.66148874250168
73,FKWL,-35.949941266808295,-13.820084131888557,-14.719015261453274
154,INM,-36.40400335533543,-49.03842573241851,-41.127956393882435
49,UNQL,-37.23256118971068,-28.50802814087549,-43.031849967256925
6,FCEL,-37.26448536045996,-15.232170934507582,-23.38826276426348
16,CLFD,-38.29046480955145,-37.97173812825914,-37.86320143750586
39,CTLT,-40.99192953832157,42.74696899901925,9.167381903941054
66,PTCO,-41.26175160484084,-20.304174295627444,-22.213253255964993
96,AUSI,-41.31446220777276,-7.602670790711281,-10.40076576733553
175,ZEOX,-41.38547793251469,-62.20020704773469,-30.088655219911182
86,HAIN,-41.69019201186501,-3.0595661130499523,-13.759778607752333
106,PTN,-42.01768846552783,-31.163613813994722,-28.78548594366395
114,UPXI,-42.15855337943314,26.16921830101779,-9.537744176292131
40,ARTH,-42.446421337100006,-52.59218728986498,-23.455587031982382
8,ATIF,-42.59203626747002,-29.509271546967334,-23.975400574382157
127,UI,-45.41180418937205,-17.54479517334269,-11.044312468524277
117,WRPT,-46.84799546413768,9.753586049805893,-4.10870119484718
174,NMEX,-48.12624277568676,-19.430740923900842,-11.213259586790821
99,SMME,-50.17649244807068,-58.03776493110399,-42.192195490978314
90,GBLX,-51.809476387101554,-10.44050557514908,-5.870627746311934
178,AGTX,-52.69701721105665,-25.87572597923613,-26.700165392635917
21,SISI,-63.19877570142101,-70.39369227853213,-36.9688481860449
54,DYNT,-66.25921953472034,-29.05996977860013,-25.00264701046887
94,SUND,-69.22820290373802,-64.76654221224945,-31.54430797822365
128,INBS,-70.55089404264082,-85.71583590210062,-28.10190422246233
31,SNTW,-71.03128261978604,-77.47915919802726,-30.828307491810648
100,NGTF,-71.71006509972445,-24.732339293513984,-32.52163832889723
137,VRVR,-74.13267092258975,-59.189496118811356,-23.788139170996764
104,YUMM,-74.42507271264364,-25.909577954144446,-15.838624184426957
171,GMBL,-82.08033408360195,-86.45556819203064,-26.574543168249384
177,SUWN,-83.35997217855659,-15.534691615569823,0.6967741345438636
38,INND,-85.81750888407998,-29.610690665422588,-25.53654558539028
108,SLDC,-86.26447040308545,-12.639964236843364,-39.85180927243774
172,BBIG,-91.34465140791882,-43.55326834667836,-34.8361168205549
11,MMEX,-102.96030630660636,-80.04882787526776,-203.97115704842966
